
  ZVR, 3.52

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  1.50000000000E+09     ; 4.00000000000E+09   ; Hz                  ; 801       ; S21           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; domain=TIME gate=OFF; MAGNITUDE           ; dB        ; 1%            ; none

  time-domain           ; time-domain-start   ; time-domain-stop    ; td-unit   ; nof-points
  TIME                  ; 0.00000000000E+00   ; 5.00000000000E-08   ; s         ; 801 

  transformation-type   ; period              ; dielectric-epsilon  ; x-axis    
  CHIRP IMPULSE BANDPASS; 3.20000000000E-07s  ; none                ; time      

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  time              ;  S21          
   0.00000000000E+00; -81.3851      
   6.25000000000E-11; -82.3272      
   1.25000000000E-10; -83.2637      
   1.87500000000E-10; -84.0913      
   2.50000000000E-10; -84.7121      
   3.12500000000E-10; -86.4341      
   3.75000000000E-10; -87.8961      
   4.37500000000E-10; -88.9404      
   5.00000000000E-10; -89.4629      
   5.62500000000E-10; -89.4654      
   6.25000000000E-10; -89.0618      
   6.87500000000E-10; -88.4488      
   7.50000000000E-10; -87.8854      
   8.12500000000E-10; -87.5676      
   8.75000000000E-10; -87.5399      
   9.37500000000E-10; -87.7925      
   1.00000000000E-09; -88.3105      
   1.06250000000E-09; -89.0822      
   1.12500000000E-09; -90.0982      
   1.18750000000E-09; -91.35        
   1.25000000000E-09; -92.8332      
   1.31250000000E-09; -94.5663      
   1.37500000000E-09; -96.6269      
   1.43750000000E-09; -98.8699      
   1.50000000000E-09; -100.765      
   1.56250000000E-09; -101.768      
   1.62500000000E-09; -101.485      
   1.68750000000E-09; -100.085      
   1.75000000000E-09; -98.1154      
   1.81250000000E-09; -96.0413      
   1.87500000000E-09; -94.0913      
   1.93750000000E-09; -92.33        
   2.00000000000E-09; -90.8838      
   2.06250000000E-09; -89.8278      
   2.12500000000E-09; -89.0987      
   2.18750000000E-09; -88.6454      
   2.25000000000E-09; -88.4265      
   2.31250000000E-09; -88.4103      
   2.37500000000E-09; -88.5738      
   2.43750000000E-09; -88.8984      
   2.50000000000E-09; -89.3655      
   2.56250000000E-09; -89.9603      
   2.62500000000E-09; -90.6845      
   2.68750000000E-09; -91.5789      
   2.75000000000E-09; -92.7345      
   2.81250000000E-09; -94.0912      
   2.87500000000E-09; -95.1879      
   2.93750000000E-09; -95.8426      
   3.00000000000E-09; -96.08        
   3.06250000000E-09; -96.1337      
   3.12500000000E-09; -96.2782      
   3.18750000000E-09; -96.1577      
   3.25000000000E-09; -94.7416      
   3.31250000000E-09; -92.1966      
   3.37500000000E-09; -89.483       
   3.43750000000E-09; -87.3636      
   3.50000000000E-09; -86.0368      
   3.56250000000E-09; -85.2455      
   3.62500000000E-09; -83.2841      
   3.68750000000E-09; -79.7265      
   3.75000000000E-09; -75.5171      
   3.81250000000E-09; -71.4085      
   3.87500000000E-09; -67.636       
   3.93750000000E-09; -64.2359      
   4.00000000000E-09; -61.1867      
   4.06250000000E-09; -58.4551      
   4.12500000000E-09; -56.0244      
   4.18750000000E-09; -53.9188      
   4.25000000000E-09; -52.126       
   4.31250000000E-09; -50.6197      
   4.37500000000E-09; -49.3777      
   4.43750000000E-09; -48.383       
   4.50000000000E-09; -47.6226      
   4.56250000000E-09; -47.0863      
   4.62500000000E-09; -46.7665      
   4.68750000000E-09; -46.6572      
   4.75000000000E-09; -46.7537      
   4.81250000000E-09; -47.0519      
   4.87500000000E-09; -47.5473      
   4.93750000000E-09; -48.2345      
   5.00000000000E-09; -49.1057      
   5.06250000000E-09; -50.1098      
   5.12500000000E-09; -51.3009      
   5.18750000000E-09; -52.6181      
   5.25000000000E-09; -54.0245      
   5.31250000000E-09; -55.4718      
   5.37500000000E-09; -56.9005      
   5.43750000000E-09; -58.2463      
   5.50000000000E-09; -59.4515      
   5.56250000000E-09; -60.4825      
   5.62500000000E-09; -61.3414      
   5.68750000000E-09; -62.067       
   5.75000000000E-09; -62.7216      
   5.81250000000E-09; -63.3738      
   5.87500000000E-09; -64.0858      
   5.93750000000E-09; -64.9092      
   6.00000000000E-09; -65.8802      
   6.06250000000E-09; -67.0053      
   6.12500000000E-09; -68.2254      
   6.18750000000E-09; -69.4077      
   6.25000000000E-09; -70.3906      
   6.31250000000E-09; -71.0219      
   6.37500000000E-09; -71.2052      
   6.43750000000E-09; -70.9419      
   6.50000000000E-09; -70.3279      
   6.56250000000E-09; -69.5098      
   6.62500000000E-09; -68.6457      
   6.68750000000E-09; -67.8874      
   6.75000000000E-09; -67.3429      
   6.81250000000E-09; -67.0504      
   6.87500000000E-09; -67.0079      
   6.93750000000E-09; -67.195       
   7.00000000000E-09; -67.5746      
   7.06250000000E-09; -68.0846      
   7.12500000000E-09; -68.6325      
   7.18750000000E-09; -69.1023      
   7.25000000000E-09; -69.3752      
   7.31250000000E-09; -69.357       
   7.37500000000E-09; -69.0069      
   7.43750000000E-09; -68.351       
   7.50000000000E-09; -67.4697      
   7.56250000000E-09; -66.4694      
   7.62500000000E-09; -65.4539      
   7.68750000000E-09; -64.5062      
   7.75000000000E-09; -63.6799      
   7.81250000000E-09; -63.0027      
   7.87500000000E-09; -62.4861      
   7.93750000000E-09; -62.1325      
   8.00000000000E-09; -61.9387      
   8.06250000000E-09; -61.8951      
   8.12500000000E-09; -61.9847      
   8.18750000000E-09; -62.179       
   8.25000000000E-09; -62.436       
   8.31250000000E-09; -62.702       
   8.37500000000E-09; -62.9187      
   8.43750000000E-09; -63.0329      
   8.50000000000E-09; -63.0064      
   8.56250000000E-09; -62.8235      
   8.62500000000E-09; -62.4938      
   8.68750000000E-09; -62.0499      
   8.75000000000E-09; -61.5399      
   8.81250000000E-09; -61.0172      
   8.87500000000E-09; -60.5306      
   8.93750000000E-09; -60.117       
   9.00000000000E-09; -59.8005      
   9.06250000000E-09; -59.5941      
   9.12500000000E-09; -59.5037      
   9.18750000000E-09; -59.5298      
   9.25000000000E-09; -59.6685      
   9.31250000000E-09; -59.9111      
   9.37500000000E-09; -60.2435      
   9.43750000000E-09; -60.6444      
   9.50000000000E-09; -61.086       
   9.56250000000E-09; -61.5356      
   9.62500000000E-09; -61.9595      
   9.68750000000E-09; -62.327       
   9.75000000000E-09; -62.6157      
   9.81250000000E-09; -62.8146      
   9.87500000000E-09; -62.9263      
   9.93750000000E-09; -62.9665      
   1.00000000000E-08; -62.9606      
   1.00625000000E-08; -62.939       
   1.01250000000E-08; -62.9304      
   1.01875000000E-08; -62.958       
   1.02500000000E-08; -63.0379      
   1.03125000000E-08; -63.1802      
   1.03750000000E-08; -63.391       
   1.04375000000E-08; -63.6742      
   1.05000000000E-08; -64.0337      
   1.05625000000E-08; -64.4736      
   1.06250000000E-08; -64.9984      
   1.06875000000E-08; -65.612       
   1.07500000000E-08; -66.3151      
   1.08125000000E-08; -67.1005      
   1.08750000000E-08; -67.947       
   1.09375000000E-08; -68.8142      
   1.10000000000E-08; -69.644       
   1.10625000000E-08; -70.3686      
   1.11250000000E-08; -70.9234      
   1.11875000000E-08; -71.259       
   1.12500000000E-08; -71.3533      
   1.13125000000E-08; -71.2172      
   1.13750000000E-08; -70.893       
   1.14375000000E-08; -70.4432      
   1.15000000000E-08; -69.9354      
   1.15625000000E-08; -69.4253      
   1.16250000000E-08; -68.949       
   1.16875000000E-08; -68.4847      
   1.17500000000E-08; -68.1342      
   1.18125000000E-08; -67.8613      
   1.18750000000E-08; -67.6733      
   1.19375000000E-08; -67.5775      
   1.20000000000E-08; -67.5813      
   1.20625000000E-08; -67.6907      
   1.21250000000E-08; -67.9085      
   1.21875000000E-08; -68.2321      
   1.22500000000E-08; -68.6537      
   1.23125000000E-08; -69.161       
   1.23750000000E-08; -69.7411      
   1.24375000000E-08; -70.3855      
   1.25000000000E-08; -71.0936      
   1.25625000000E-08; -71.8761      
   1.26250000000E-08; -72.7574      
   1.26875000000E-08; -73.7755      
   1.27500000000E-08; -74.9615      
   1.28125000000E-08; -76.2218      
   1.28750000000E-08; -77.3323      
   1.29375000000E-08; -78.1501      
   1.30000000000E-08; -78.5853      
   1.30625000000E-08; -78.5853      
   1.31250000000E-08; -78.1427      
   1.31875000000E-08; -77.2985      
   1.32500000000E-08; -76.136       
   1.33125000000E-08; -74.7814      
   1.33750000000E-08; -73.4388      
   1.34375000000E-08; -72.2556      
   1.35000000000E-08; -71.2192      
   1.35625000000E-08; -70.292       
   1.36250000000E-08; -69.4475      
   1.36875000000E-08; -68.6732      
   1.37500000000E-08; -67.9679      
   1.38125000000E-08; -67.3378      
   1.38750000000E-08; -66.7925      
   1.39375000000E-08; -66.3403      
   1.40000000000E-08; -65.9849      
   1.40625000000E-08; -65.7225      
   1.41250000000E-08; -65.5421      
   1.41875000000E-08; -65.4259      
   1.42500000000E-08; -65.3524      
   1.43125000000E-08; -65.2994      
   1.43750000000E-08; -65.2483      
   1.44375000000E-08; -65.1873      
   1.45000000000E-08; -65.1137      
   1.45625000000E-08; -65.0348      
   1.46250000000E-08; -64.9671      
   1.46875000000E-08; -64.9343      
   1.47500000000E-08; -64.9645      
   1.48125000000E-08; -65.0872      
   1.48750000000E-08; -65.3308      
   1.49375000000E-08; -65.7207      
   1.50000000000E-08; -66.2778      
   1.50625000000E-08; -67.0166      
   1.51250000000E-08; -67.9406      
   1.51875000000E-08; -69.0323      
   1.52500000000E-08; -70.2446      
   1.53125000000E-08; -71.5013      
   1.53750000000E-08; -72.7044      
   1.54375000000E-08; -73.7361      
   1.55000000000E-08; -74.4709      
   1.55625000000E-08; -74.8119      
   1.56250000000E-08; -74.7371      
   1.56875000000E-08; -74.3189      
   1.57500000000E-08; -73.6958      
   1.58125000000E-08; -73.0125      
   1.58750000000E-08; -72.3624      
   1.59375000000E-08; -71.7752      
   1.60000000000E-08; -71.2389      
   1.60625000000E-08; -70.724       
   1.61250000000E-08; -70.1992      
   1.61875000000E-08; -69.6422      
   1.62500000000E-08; -69.0444      
   1.63125000000E-08; -68.4116      
   1.63750000000E-08; -67.7616      
   1.64375000000E-08; -67.1217      
   1.65000000000E-08; -66.5251      
   1.65625000000E-08; -66.008       
   1.66250000000E-08; -65.6063      
   1.66875000000E-08; -65.352       
   1.67500000000E-08; -65.2718      
   1.68125000000E-08; -65.3869      
   1.68750000000E-08; -65.7144      
   1.69375000000E-08; -66.2698      
   1.70000000000E-08; -67.0683      
   1.70625000000E-08; -68.1257      
   1.71250000000E-08; -69.4584      
   1.71875000000E-08; -71.0799      
   1.72500000000E-08; -72.9917      
   1.73125000000E-08; -75.1826      
   1.73750000000E-08; -77.6428      
   1.74375000000E-08; -80.313       
   1.75000000000E-08; -82.9663      
   1.75625000000E-08; -85.1355      
   1.76250000000E-08; -86.2374      
   1.76875000000E-08; -86.0326      
   1.77500000000E-08; -84.8961      
   1.78125000000E-08; -83.4299      
   1.78750000000E-08; -82.0213      
   1.79375000000E-08; -80.7918      
   1.80000000000E-08; -79.7915      
   1.80625000000E-08; -79.0755      
   1.81250000000E-08; -78.673       
   1.81875000000E-08; -78.5953      
   1.82500000000E-08; -78.8585      
   1.83125000000E-08; -79.4992      
   1.83750000000E-08; -80.5841      
   1.84375000000E-08; -81.8256      
   1.85000000000E-08; -82.8213      
   1.85625000000E-08; -83.3516      
   1.86250000000E-08; -83.255       
   1.86875000000E-08; -82.5147      
   1.87500000000E-08; -81.2651      
   1.88125000000E-08; -79.7064      
   1.88750000000E-08; -78.0182      
   1.89375000000E-08; -76.3309      
   1.90000000000E-08; -74.9052      
   1.90625000000E-08; -73.8308      
   1.91250000000E-08; -73.0488      
   1.91875000000E-08; -72.5188      
   1.92500000000E-08; -72.2136      
   1.93125000000E-08; -72.1146      
   1.93750000000E-08; -72.2081      
   1.94375000000E-08; -72.4828      
   1.95000000000E-08; -72.9253      
   1.95625000000E-08; -73.5136      
   1.96250000000E-08; -74.2062      
   1.96875000000E-08; -74.9347      
   1.97500000000E-08; -75.6092      
   1.98125000000E-08; -76.1357      
   1.98750000000E-08; -76.4359      
   1.99375000000E-08; -76.4649      
   2.00000000000E-08; -76.2235      
   2.00625000000E-08; -75.7581      
   2.01250000000E-08; -75.1479      
   2.01875000000E-08; -74.4869      
   2.02500000000E-08; -73.8636      
   2.03125000000E-08; -73.3419      
   2.03750000000E-08; -72.9555      
   2.04375000000E-08; -72.7139      
   2.05000000000E-08; -72.6097      
   2.05625000000E-08; -72.6219      
   2.06250000000E-08; -72.7157      
   2.06875000000E-08; -72.8436      
   2.07500000000E-08; -72.9509      
   2.08125000000E-08; -72.9839      
   2.08750000000E-08; -72.8991      
   2.09375000000E-08; -72.6713      
   2.10000000000E-08; -72.2979      
   2.10625000000E-08; -71.7989      
   2.11250000000E-08; -71.213       
   2.11875000000E-08; -70.5893      
   2.12500000000E-08; -69.9786      
   2.13125000000E-08; -69.4249      
   2.13750000000E-08; -68.9619      
   2.14375000000E-08; -68.6138      
   2.15000000000E-08; -68.3985      
   2.15625000000E-08; -68.3305      
   2.16250000000E-08; -68.4232      
   2.16875000000E-08; -68.6899      
   2.17500000000E-08; -69.1441      
   2.18125000000E-08; -69.7977      
   2.18750000000E-08; -70.6552      
   2.19375000000E-08; -71.7009      
   2.20000000000E-08; -72.8829      
   2.20625000000E-08; -74.1217      
   2.21250000000E-08; -75.3336      
   2.21875000000E-08; -76.4382      
   2.22500000000E-08; -77.3611      
   2.23125000000E-08; -78.0479      
   2.23750000000E-08; -78.4827      
   2.24375000000E-08; -78.705       
   2.25000000000E-08; -78.8138      
   2.25625000000E-08; -78.9376      
   2.26250000000E-08; -79.1495      
   2.26875000000E-08; -79.418       
   2.27500000000E-08; -79.6527      
   2.28125000000E-08; -79.7565      
   2.28750000000E-08; -79.6542      
   2.29375000000E-08; -79.3106      
   2.30000000000E-08; -78.7392      
   2.30625000000E-08; -77.9974      
   2.31250000000E-08; -77.1712      
   2.31875000000E-08; -76.3564      
   2.32500000000E-08; -75.6331      
   2.33125000000E-08; -75.0449      
   2.33750000000E-08; -74.6003      
   2.34375000000E-08; -74.2867      
   2.35000000000E-08; -74.0802      
   2.35625000000E-08; -73.95        
   2.36250000000E-08; -73.8609      
   2.36875000000E-08; -73.7757      
   2.37500000000E-08; -73.6588      
   2.38125000000E-08; -73.4805      
   2.38750000000E-08; -73.2217      
   2.39375000000E-08; -72.8774      
   2.40000000000E-08; -72.4572      
   2.40625000000E-08; -71.9826      
   2.41250000000E-08; -71.4823      
   2.41875000000E-08; -70.9874      
   2.42500000000E-08; -70.5269      
   2.43125000000E-08; -70.1257      
   2.43750000000E-08; -69.8035      
   2.44375000000E-08; -69.5745      
   2.45000000000E-08; -69.4482      
   2.45625000000E-08; -69.4297      
   2.46250000000E-08; -69.5202      
   2.46875000000E-08; -69.717       
   2.47500000000E-08; -70.0144      
   2.48125000000E-08; -70.4035      
   2.48750000000E-08; -70.872       
   2.49375000000E-08; -71.4051      
   2.50000000000E-08; -71.9851      
   2.50625000000E-08; -72.5925      
   2.51250000000E-08; -73.2068      
   2.51875000000E-08; -73.8084      
   2.52500000000E-08; -74.3812      
   2.53125000000E-08; -74.915       
   2.53750000000E-08; -75.4084      
   2.54375000000E-08; -75.8704      
   2.55000000000E-08; -76.3204      
   2.55625000000E-08; -76.7879      
   2.56250000000E-08; -77.3106      
   2.56875000000E-08; -77.934       
   2.57500000000E-08; -78.7116      
   2.58125000000E-08; -79.7086      
   2.58750000000E-08; -81.0074      
   2.59375000000E-08; -82.5862      
   2.60000000000E-08; -84.1145      
   2.60625000000E-08; -85.4825      
   2.61250000000E-08; -86.5594      
   2.61875000000E-08; -87.2003      
   2.62500000000E-08; -87.2862      
   2.63125000000E-08; -86.7761      
   2.63750000000E-08; -85.7334      
   2.64375000000E-08; -84.3048      
   2.65000000000E-08; -82.8047      
   2.65625000000E-08; -81.6098      
   2.66250000000E-08; -80.6296      
   2.66875000000E-08; -79.8082      
   2.67500000000E-08; -79.1218      
   2.68125000000E-08; -78.57        
   2.68750000000E-08; -78.1698      
   2.69375000000E-08; -77.9501      
   2.70000000000E-08; -77.9427      
   2.70625000000E-08; -78.1592      
   2.71250000000E-08; -78.5331      
   2.71875000000E-08; -78.8767      
   2.72500000000E-08; -78.9888      
   2.73125000000E-08; -78.7408      
   2.73750000000E-08; -78.0889      
   2.74375000000E-08; -77.0709      
   2.75000000000E-08; -75.7808      
   2.75625000000E-08; -74.3328      
   2.76250000000E-08; -72.8398      
   2.76875000000E-08; -71.4131      
   2.77500000000E-08; -70.1478      
   2.78125000000E-08; -69.0794      
   2.78750000000E-08; -68.1989      
   2.79375000000E-08; -67.4856      
   2.80000000000E-08; -66.9181      
   2.80625000000E-08; -66.4774      
   2.81250000000E-08; -66.1474      
   2.81875000000E-08; -65.9142      
   2.82500000000E-08; -65.7666      
   2.83125000000E-08; -65.6952      
   2.83750000000E-08; -65.6922      
   2.84375000000E-08; -65.7516      
   2.85000000000E-08; -65.8688      
   2.85625000000E-08; -66.0409      
   2.86250000000E-08; -66.2664      
   2.86875000000E-08; -66.5458      
   2.87500000000E-08; -66.8817      
   2.88125000000E-08; -67.279       
   2.88750000000E-08; -67.745       
   2.89375000000E-08; -68.2896      
   2.90000000000E-08; -68.9244      
   2.90625000000E-08; -69.6613      
   2.91250000000E-08; -70.5098      
   2.91875000000E-08; -71.469       
   2.92500000000E-08; -72.5173      
   2.93125000000E-08; -73.6017      
   2.93750000000E-08; -74.643       
   2.94375000000E-08; -75.551       
   2.95000000000E-08; -76.2388      
   2.95625000000E-08; -76.6391      
   2.96250000000E-08; -76.7236      
   2.96875000000E-08; -76.5158      
   2.97500000000E-08; -76.0894      
   2.98125000000E-08; -75.5506      
   2.98750000000E-08; -75.0085      
   2.99375000000E-08; -74.542       
   3.00000000000E-08; -74.1913      
   3.00625000000E-08; -73.9708      
   3.01250000000E-08; -73.884       
   3.01875000000E-08; -73.931       
   3.02500000000E-08; -74.1111      
   3.03125000000E-08; -74.4218      
   3.03750000000E-08; -74.857       
   3.04375000000E-08; -75.4034      
   3.05000000000E-08; -76.0358      
   3.05625000000E-08; -76.7151      
   3.06250000000E-08; -77.3887      
   3.06875000000E-08; -77.9954      
   3.07500000000E-08; -78.4726      
   3.08125000000E-08; -78.769       
   3.08750000000E-08; -78.8568      
   3.09375000000E-08; -78.7424      
   3.10000000000E-08; -78.4654      
   3.10625000000E-08; -78.0882      
   3.11250000000E-08; -77.6796      
   3.11875000000E-08; -77.2997      
   3.12500000000E-08; -76.9944      
   3.13125000000E-08; -76.7956      
   3.13750000000E-08; -76.7261      
   3.14375000000E-08; -76.8035      
   3.15000000000E-08; -77.0438      
   3.15625000000E-08; -77.4645      
   3.16250000000E-08; -78.0875      
   3.16875000000E-08; -78.9432      
   3.17500000000E-08; -80.0774      
   3.18125000000E-08; -81.5505      
   3.18750000000E-08; -83.2022      
   3.19375000000E-08; -84.7588      
   3.20000000000E-08; -86.0524      
   3.20625000000E-08; -86.9194      
   3.21250000000E-08; -87.2644      
   3.21875000000E-08; -87.1161      
   3.22500000000E-08; -86.6118      
   3.23125000000E-08; -85.9285      
   3.23750000000E-08; -85.2339      
   3.24375000000E-08; -84.9178      
   3.25000000000E-08; -84.9994      
   3.25625000000E-08; -84.992       
   3.26250000000E-08; -84.6875      
   3.26875000000E-08; -84.0242      
   3.27500000000E-08; -83.0225      
   3.28125000000E-08; -81.7569      
   3.28750000000E-08; -80.3232      
   3.29375000000E-08; -78.8141      
   3.30000000000E-08; -77.3177      
   3.30625000000E-08; -75.9768      
   3.31250000000E-08; -74.9334      
   3.31875000000E-08; -74.1775      
   3.32500000000E-08; -73.6706      
   3.33125000000E-08; -73.3779      
   3.33750000000E-08; -73.2705      
   3.34375000000E-08; -73.3244      
   3.35000000000E-08; -73.5196      
   3.35625000000E-08; -73.8403      
   3.36250000000E-08; -74.2751      
   3.36875000000E-08; -74.8178      
   3.37500000000E-08; -75.4678      
   3.38125000000E-08; -76.2294      
   3.38750000000E-08; -77.11        
   3.39375000000E-08; -78.1124      
   3.40000000000E-08; -79.2184      
   3.40625000000E-08; -80.3677      
   3.41250000000E-08; -81.4632      
   3.41875000000E-08; -82.3997      
   3.42500000000E-08; -83.0828      
   3.43125000000E-08; -83.4431      
   3.43750000000E-08; -83.4521      
   3.44375000000E-08; -83.1343      
   3.45000000000E-08; -82.5662      
   3.45625000000E-08; -81.8651      
   3.46250000000E-08; -81.1624      
   3.46875000000E-08; -80.5555      
   3.47500000000E-08; -80.0882      
   3.48125000000E-08; -79.7741      
   3.48750000000E-08; -79.618       
   3.49375000000E-08; -79.6258      
   3.50000000000E-08; -79.8066      
   3.50625000000E-08; -80.1712      
   3.51250000000E-08; -80.7257      
   3.51875000000E-08; -81.46        
   3.52500000000E-08; -82.3378      
   3.53125000000E-08; -83.3071      
   3.53750000000E-08; -84.3257      
   3.54375000000E-08; -85.3704      
   3.55000000000E-08; -86.4359      
   3.55625000000E-08; -87.5289      
   3.56250000000E-08; -88.6469      
   3.56875000000E-08; -89.6564      
   3.57500000000E-08; -91.3036      
   3.58125000000E-08; -91.2752      
   3.58750000000E-08; -90.6691      
   3.59375000000E-08; -89.7412      
   3.60000000000E-08; -88.6842      
   3.60625000000E-08; -87.617       
   3.61250000000E-08; -86.617       
   3.61875000000E-08; -85.7783      
   3.62500000000E-08; -85.4226      
   3.63125000000E-08; -85.7172      
   3.63750000000E-08; -86.2097      
   3.64375000000E-08; -86.4427      
   3.65000000000E-08; -86.3002      
   3.65625000000E-08; -85.7304      
   3.66250000000E-08; -84.761       
   3.66875000000E-08; -83.4851      
   3.67500000000E-08; -82.0219      
   3.68125000000E-08; -80.4816      
   3.68750000000E-08; -78.9569      
   3.69375000000E-08; -77.7125      
   3.70000000000E-08; -76.8514      
   3.70625000000E-08; -76.3181      
   3.71250000000E-08; -76.0735      
   3.71875000000E-08; -76.0907      
   3.72500000000E-08; -76.3481      
   3.73125000000E-08; -76.8238      
   3.73750000000E-08; -77.4873      
   3.74375000000E-08; -78.2895      
   3.75000000000E-08; -79.1569      
   3.75625000000E-08; -79.9941      
   3.76250000000E-08; -80.6923      
   3.76875000000E-08; -81.144       
   3.77500000000E-08; -81.2684      
   3.78125000000E-08; -81.0396      
   3.78750000000E-08; -80.4989      
   3.79375000000E-08; -79.7396      
   3.80000000000E-08; -78.8736      
   3.80625000000E-08; -77.9977      
   3.81250000000E-08; -77.1759      
   3.81875000000E-08; -76.4412      
   3.82500000000E-08; -75.8082      
   3.83125000000E-08; -75.2827      
